BRAND,PRODUCT,ACTUAL PRICE,DISCOUNTED PRICE,DISCOUNT
DILLINGER, Printed Round Neck Navy Blue T-shirt , Rs.899 , Rs.359 , 60% 
Jack & Jones, Solid Polo Collar T-shirt , Rs.999 , Rs.499 , 50% 
Roadster, Time Travlr Scoop Neck T-shirt , Rs.299 , Rs.209 , 30% 
Kook N Keech Marvel, Printed Round Neck T-shirt , Rs.699 , Rs.419 , 40% 
Superdry, Men Solid T-shirt , Rs.3599 , Rs.2699 , 25% 
4F, Printed Round Neck T-shirt , Rs.1540 , Rs.1540 , 0%
ARISE, Solid V-Neck T-shirt , Rs.499 , Rs.324 , 35% 
Ecko Unltd, Printed Round Neck T-shirt , Rs.499 , Rs.324 , 35% 
Roadster, Printed Round Neck T-shirt , Rs.599 , Rs.419 , 30% 
Cloak & Decker by Monte Carlo, Solid Polo Collar T-shirt , Rs.599 , Rs.449 , 25% 
United Colors of Benetton, Printed Round Neck T-shirt , Rs.1199 , Rs.539 , 55% 
Calvin Klein Jeans, Printed Round Neck T-shirt , Rs.3999 , Rs.2599 , 35% 
Roadster, Printed Round Neck T-shirt , Rs.599 , Rs.419 , 30% 
Newport, Printed Round Neck T-shirt , Rs.599 , Rs.389 , 35% 
WROGN, Printed Slim Fit T-shirt , Rs.799 , Rs.559 , 30% 
Tinted, Solid Round Neck T-shirt , Rs.795 , Rs.437 , 45% 
Roadster, Solid Round Neck White T-shirt , Rs.499 , Rs.299 , 40% 
Maniac, Printed Round Neck T-shirt , Rs.749 , Rs.262 , 65% 
Superdry, Men Round Neck T-shirt , Rs.2999 , Rs.2249 , 25% 
Roadster, Printed Round Neck T-shirt , Rs.699 , Rs.419 , 40% 
Crocodile, Striped Polo Collar T-shirt , Rs.1599 , Rs.959 , 40% 
Moda Rapido, Printed Hood T-shirt , Rs.849 , Rs.849 , 0%
Maniac, Printed T-shirt , Rs.829 , Rs.248 , 70% 
H&M, Polo Shirt , Rs.799 , Rs.799 , 0%
Rigo, Round Neck T-shirt , Rs.999 , Rs.449 , 55% 
Roadster, Pack of 3 T-shirts , Rs.1199 , Rs.719 , 40% 
Blue Saint, Solid Polo Collar T-shirt , Rs.699 , Rs.699 , 0%
United Colors of Benetton, Solid Polo Collar T-shirt , Rs.1599 , Rs.799 , 50% 
Moda Rapido, Colourblocked T-shirt , Rs.599 , Rs.599 , 0%
Maniac, Striped Round Neck T-shirt , Rs.949 , Rs.284 , 70% 
Roadster, Striped Polo T-shirt , Rs.899 , Rs.629 , 30% 
Jack & Jones, Solid V-Neck T-shirt , Rs.799 , Rs.359 , 55% 
Superdry, Colourblocked Round Neck T-shirt , Rs.3999 , Rs.2999 , 25% 
Roadster, Striped Round Neck T-shirt , Rs.599 , Rs.419 , 30% 
Harvard, Solid Polo Collar T-shirt , Rs.1099 , Rs.659 , 40% 
Maniac, Printed Round Neck T-shirt , Rs.829 , Rs.248 , 70% 
Superdry, Printed Round Neck T-shirt , Rs.2599 , Rs.1949 , 25% 
Nike, Men Standard Fit T-shirt , Rs.1295 , Rs.971 , 25% 
Blue Saint, Solid Round Neck T-shirt , Rs.599 , Rs.569 , 5% 
